country,city,brand_name,car_name_fixed,manufacturing_year,trim,color,starter_fee,Monthly Fees  (excluding Platform Fees SAR ~50),car_condition,Availability,seating_capacity,best_for,body_type
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"1,999","1,999",USED,Available,5,City Commuting,Sedan
KSA,Jeddah,Hyundai,Creta,"2,023",Smart,Silver,"3,250","2,950",USED,Available,5,Small Families,Crossover / SUV
KSA,Riyadh,Toyota,Yaris,"2,024",Y,White,"2,575","2,350",USED,Available,5,City Commuting,Sedan
KSA,Jeddah,Toyota,Yaris,"2,024",Y,White,"2,575","2,350",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,MG,5,"2,023",Deluxe,Red,"2,175","1,975",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Kia,Pegas,"2,024",LX,Silver,"2,100","1,900",USED,Available,5,Budget City Driving,Sedan
KSA,Riyadh,Hyundai,Elantra,"2,024",Fleet,White,"2,925","2,650",USED,Available,5,Family Comfort,Sedan
KSA,Riyadh,Suzuki,Baleno,"2,024",STD,Silver,"2,425","2,200",USED,Available,5,Fuel Economy,Hatchback
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Riyadh,Toyota,Yaris,"2,023",Y,White,"2,375","2,125",USED,Available,5,City Commuting,Sedan
KSA,Jeddah,Hyundai,Accent,"2,024",Smart,Gray,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
KSA,Riyadh,Kia,Seltos,"2,023",LX,Gray,"3,300","2,975",USED,Available,5,Urban Adventure,Compact SUV
KSA,Riyadh,Toyota,Corolla,"2,023",XLI,White,"2,750","2,500",USED,Available,5,Family / Reliability,Sedan
KSA,Riyadh,Hyundai,Accent,"2,024",Smart,White,"2,500","2,225",USED,Available,5,Daily Commute,Sedan
