Category,Scenario,How Human Agent Handling,AI Info available (Yes/No),AI Resolution (Yes/No),How will AI resolve,Suggested AI Actions,Questions for Invygo
Pricing & Budget,Customer complains expenses/prices are high,"Asked for budget range and city, then checked database for cars in that range (Transcript 1).",Yes,Yes,"Acknowledge concern, ask for specific budget range, and search for cars within that tier.",Use Search Tool (Filter by Price),"Does the agent call for Rent-a-Car or Subscribe-to-Own only?"
Inventory (New vs Used),Customer rejects ""New"" car due to price,"Agreed with the customer ('New ones are difficult') and pivoted to offering a used car with low mileage (Transcript 1).",Yes,Yes,"Validate price concern, pivot immediately to 'Used/Repo' inventory.",Pitch Used/Repo Cars," "
Inventory (Specific Request),Customer demands specific model (e.g. Elantra/Accent),"Searched specifically for that model, provided the lowest price point for it, and confirmed model year (Transcript 1).",Yes,Yes,"Search by Model Name immediately without asking for unnecessary slots (like Make). Quote start price and year.",Use Search Tool (Filter by Model Name)," "
Pricing & Budget,Customer asks ""Is there anything cheaper?"" generally,"Offered to move to WhatsApp to send a link/list of cars (Transcript 1).",Yes,Yes,"Engage with value proposition, then guide customer to Invygo App to view full sorted list.",Redirect to App/Play Store," "
Discounts,Customer asks about discount codes,"Explained that codes apply to the first payment/installment only (Transcript 2, 6).",Yes,Yes,"Explain that discounts are available for the initial payment (approx 15-20%) but monthly rent remains fixed.",Provide General Policy,"How many active codes are there? Do they vary by car?"
Contract & Process,Customer asks about booking/pickup process,"Explained: Set pickup date -> Go to location -> Inspect car -> Sign contract (Transcript 2).",Yes,Yes,"Explain the flow: Finalize Booking in App -> Set Date -> Pickup & Inspect -> Drive.",Explain Process Flow,"Have the customer need to Pick the car from the Pick up location?"
Insurance,Customer wants Full Coverage (Zero Deductible),"Checked inventory. If car had Third-Party only, suggested switching cars or paying higher rate (Transcript 3).",Yes,Yes,"Check if selected car has Full Coverage. If not, search for cars that do or explain premium add-on.",Use Search Tool (Filter by Insurance Type)," "
Policy (Commercial Use),Customer wants car for Uber/Careem,"Asked if they have a job/registration. Proceeded to offer cars implies it is allowed (Transcript 10).",No,No,"Qualify the customer (Job/Registration). If allowed, search for eligible cars.",Check 'Commercial' Flag (Needs Confirmation),"Are customers explicitly allowed to use these vehicles for Uber/Careem?"
Contract Duration,Customer asks about 6-month contracts,"Clarified if it's a short-term rental or a Rent-to-Own track (Transcript 18).",Yes,Yes,"Explain using Knowledgebase: 6-month options exist, but verify if they are Rent-to-Own or Rental.",Consult Knowledgebase,"Please provide installments info for Subscribe-to-Own vs Rental."
Booking Issue (Outbound),Customer didn't complete booking (Drop-off),"Asked if there was an issue. Addressed the specific blocker (e.g. insurance) (Transcript 2, 3).",Yes,Yes,"Standard Flow: 1. Ask Reason. 2. Provide Solution/Explanation. 3. Guide back to App.",Interactive Troubleshooting," "
Inventory (Condition),Customer worries about ""Used"" car condition,"Explained these are Rent-to-Own returns, not abused rental cars. Verified mileage (General/Transcript 6).",Yes,Yes,"Define Used Cars: 'Certified, not heavily worn, Rent-to-Own returns'. Mention Mileage range (20k-50k).",Reassurance Script," "
Policy (Location),Customer in remote city (e.g. Madinah) wants Rent-to-Own,"Explained no delivery for Rent-to-Own; customer must come to Riyadh/Jeddah hub (Transcript 5).",Yes,Yes,"Explain Policy: Rent-to-Own requires pickup at main hubs. No delivery available.",State Pickup Policy,"Is 'No Delivery' absolute for all cities outside hubs?"
Policy (Proxy),Customer asks if friend can pick up car,"Refused. Stated strict policy: Contract holder must pick up personally (Transcript 5).",Yes,Yes,"State strict rule: No Power of Attorney/Proxy. ID must match Pickup Person.",State ID Policy," "
Account & Profile,Customer wants to change Name/Phone on account,"Explained that profile name must match License/ID. Directed user to fix profile (Transcript 17).",No,No,"Explain that Name/Phone must match ID. Direct user to App Support or Settings to change it.",Redirect to App/Support," "
Account & Payment,Money deducted but booking failed (Refund),"Assurred customer refund is automatic/coming. Offered to escalate if delayed (Transcript 8).",No,No,"Empathize. Explain refund policy (usually same day). If stuck, direct to Support.",Escalate to Support,"What are the specific refund policies for Knowledgebase?"
Payment (Balloon),Customer asks about Final (Balloon) Payment,"Explained options: Pay in full, or restructure into installments (Transcript 12, 14).",Yes,Yes,"Explain Restructuring: Split final payment into 3 months or spread over contract (Knowledgebase).",Explain Payment Options,"What is the official rule for splitting balloon payment (3 vs 24 months)?"
Policy (Requirements),Customer asks about Age/Requirements,"Stated rules: ID/License valid, Age 25-59, no service suspension (Transcript 7).",Yes,Yes,"Validate Requirements: Age 25+, Valid License, No active violations.",Screen Customer,"Is the 25-59 age limit hard, or is 23+ allowed with extra insurance?"
Payment (Fees),Customer asks about price changes/hidden fees,"Explained breakdown: Base Price vs Final Price (includes VAT, Insurance, Maintenance) (Transcript 5).",Yes,Yes,"Clarify 'All-Inclusive' pricing: Base Rent + VAT + Insurance + Maintenance = Final Price.",Price Breakdown Explanation," "
App Issue,Customer Login/Account Access trouble,"Verified phone number. Attempted to troubleshoot profile (Transcript 10).",No,No,"Basic troubleshooting (check number). If failed, redirect to App Support/Ticket.",Redirect to Support,"Should account issues be transferred to support immediately?"
Inventory (Inspection),Customer wants to see car before paying,"Allowed it. Said they can visit the dealer location listed in app (Transcript 15).",Yes,Yes,"Explain: 'Digital-first, but you can visit the dealer listed in App to inspect stock'.",Allow Inspection,"Can we officially encourage physical inspection?"
