brand_name_fixed,car_name_fixed,Tier,city,showroom_name,manufacturing_year,trim,body_type,color,product,invygo_baseprice,starter_fee,sto_contract_length,car_condition,Make Model
Kia,Seltos,Entry level SUV,Riyadh,Riyadh - King Faisal,"2,023",LX,Suv,Red,MONTHLY,"2,499","2,650",,USED,Kia Seltos
Hyundai,i10,Entry level Sedan,Jeddah,JDH,"2,022",MPI,Hatchback,Silver,MONTHLY,"2,319",,,NEW,Hyundai i10
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - Al Rawdah,"2,025",Fleet,Sedan,Brown,STS,"1,399",,,NEW,Hyundai Accent
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - Al Yarmuk,"2,025",Fleet,Sedan,Grey,MONTHLY,"3,079",,,NEW,Hyundai Accent
Hyundai,Elantra,Midsize Sedan,Riyadh,Riyadh - Ar Rimal - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,500","2,875",30,USED,Hyundai Elantra
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",9,NEW,Toyota Yaris
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Toyota Yaris
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Toyota Yaris
Toyota,Yaris,Entry level Sedan,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Toyota Yaris
Nissan,Sunny,Entry level Sedan,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,White,STS,600,,,NEW,Nissan Sunny
Toyota,Corolla,Midsize Sedan,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Black,STS,750,,,NEW,NEW
BMW,735,Luxury Sedan,Riyadh,Riyadh - Qurtubah,"2,024",STD,Sedan,Black,MONTHLY,"34,089",,,NEW,BMW 735
Toyota,Raize,Entry level SUV,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",XLE,SUV,Silver,STO,"2,300","2,650",36,NEW,Toyota Raize
Changan,Alsvin,Entry level Sedan,Riyadh,Daily Sulimaniyah Riyadh,"2,024",STD,Sedan,White,STS,590,,,NEW,Changan Alsvin
Toyota,Yaris,Entry level Sedan,Jeddah,,"2,024",Y,Sedan,White,STS,790,,,NEW,Toyota Yaris
Hyundai,Accent,Entry level Sedan,Riyadh,Riyadh - As Sahabah,"2,026",Fleet,Sedan,White,STS,870,,,NEW,Hyundai Accent
Hyundai,Grand i10,Entry level Sedan,Riyadh,Riyadh - Al Wadi,"2,025",GLS,Sedan,Silver,STS,640,,,NEW,Hyundai Grand i10
Hyundai,Accent,Entry level Sedan,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Hyundai Accent
