Category,Scenario,How Human Agent Handling,AI Info available (Yes/No),AI Resolution (Yes/No),How will AI resolve,Suggested AI Actions,Questions for Invygo
Pricing & Budget,Customer complains expenses/prices are high,"Asked for budget range and city, then checked database for cars in that range (Transcript 1).",Yes,Yes,"Acknowledge concern, ask for specific budget range, and search for cars within that tier.","Build 'Price Range' filter in Function Tool.","Does the agent call for Rent-a-Car or Subscribe-to-Own only? If list includes Daily/Weekly leads, should we redirect them?"
Inventory (New vs Used),Customer rejects ""New"" car due to price,"Agreed with the customer ('New ones are difficult') and pivoted to offering a used car with low mileage (Transcript 1).",Yes,Yes,"Validate price concern, pivot immediately to 'Used/Repo' inventory.",Ensure 'Condition' (New/Used) is a search parameter.,"Please provide the specific installment duration options for Used vs. New cars."
Inventory (Specific Request),Customer demands specific model (e.g. Elantra/Accent),"Searched specifically for that model, provided the lowest price point for it, and confirmed model year (Transcript 1).",Yes,Yes,"Search by Model Name immediately without asking for unnecessary slots (like Make). Quote start price and year.",Configure Search Tool to accept partial model names.," "
Pricing & Budget,Customer asks ""Is there anything cheaper?"" generally,"Offered to move to WhatsApp to send a link/list of cars (Transcript 1).",Yes,Yes,"Engage with value proposition, then guide customer to Invygo App to view full sorted list.",Define specific landing page/link to send via SMS/WhatsApp.," "
Discounts,Customer asks about discount codes,"Explained that codes apply to the first payment/installment only (Transcript 2, 6).",Yes,Yes,"Explain that discounts are available for the initial payment (approx 15-20%) but monthly rent remains fixed.",Provide list of active codes to Agent Knowledgebase.,"How many active codes are there? Is there a fixed discount on the starting_fee for all cars, or does it vary?"
Contract & Process,Customer asks about booking/pickup process,"Explained: Set pickup date -> Go to location -> Inspect car -> Sign contract (Transcript 2).",Yes,Yes,"Explain the flow: Finalize Booking in App -> Set Date -> Pickup & Inspect -> Drive.",None (Standard Conversation),"Does the customer have to pick up the car from the pickup location, or is delivery available?"
Insurance,Customer wants Full Coverage (Zero Deductible),"Checked inventory. If car had Third-Party only, suggested switching cars or paying higher rate (Transcript 3).",Yes,Yes,"Check if selected car has Full Coverage. If not, search for cars that do or explain premium add-on.",Add 'Insurance Type' metadata to car inventory database.," "
Policy (Commercial Use),Customer wants car for Uber/Careem,"The agent explicitly asked if the customer had a job. When the customer replied they are registered with Uber/Careem, the agent accepted this as valid employment and immediately proceeded to offer suitable cars (Changan/Yaris), confirming commercial use is permitted for specific models (Transcript 10).",No,No,"Qualify the customer (Job/Registration). If allowed, search for eligible cars.","Clarify policy: Add 'Commercial Use Allowed' tag to inventory.",Are customers explicitly allowed to use these vehicles for Uber/Careem?
Contract Duration,Customer asks about 6-month contracts,"Clarified if it's a short-term rental or a Rent-to-Own track (Transcript 18).",Yes,Yes,"Explain using Knowledgebase: 6-month options exist, but verify if they are Rent-to-Own or Rental.",Clarify 'Rent-to-Own' vs 'Rental' logic in system prompt.,"What is the policy on extending installments? Please explain the 'Minimum Duration' rule (e.g. must be 6 months to renew)."
Booking Issue (Outbound),Customer didn't complete booking (Drop-off),"Asked if there was an issue. Addressed the specific blocker (e.g. insurance) (Transcript 2, 3).",Yes,Yes,"Standard Flow: 1. Ask Reason. 2. Provide Solution/Explanation. 3. Guide back to App.",Create 'Booking Drop-off' specific script flow.,"What are the specific parameters/triggers for redirecting a customer to a human agent?"
